idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_pinn,lt_pred_um__wtlt_big_pinn,wt_abs_err_um__wtlt_big_pinn,lt_abs_err_um__wtlt_big_pinn,wt_pct_err__wtlt_big_pinn,lt_pct_err__wtlt_big_pinn,wt_pred_um__wtlt_big_data,lt_pred_um__wtlt_big_data,wt_abs_err_um__wtlt_big_data,lt_abs_err_um__wtlt_big_data,wt_pct_err__wtlt_big_data,lt_pct_err__wtlt_big_data,wt_pred_um__wtlt_small_pinn,lt_pred_um__wtlt_small_pinn,wt_abs_err_um__wtlt_small_pinn,lt_abs_err_um__wtlt_small_pinn,wt_pct_err__wtlt_small_pinn,lt_pct_err__wtlt_small_pinn,wt_pred_um__wtlt_small_data,lt_pred_um__wtlt_small_data,wt_abs_err_um__wtlt_small_data,lt_abs_err_um__wtlt_small_data,wt_pct_err__wtlt_small_data,lt_pct_err__wtlt_small_data
0,5.0000005,100.0,5.1739807,136.01434,0.17398024,36.014343,3.4796045,36.014343,5.021288,110.13586,0.021287441,10.135857,0.4257488,10.135857,12.707205,228.95279,7.7072043,128.95279,154.14407,128.95279,12.6793,232.65675,7.6793,132.65675,153.58598,132.65675
1,5.0000005,150.0,5.029658,121.12569,0.029657364,28.874313,0.5931472,19.249542,5.0222254,113.777626,0.022224903,36.222374,0.444498,24.14825,13.809498,375.69775,8.809498,225.69775,176.18994,150.46516,13.771391,375.8645,8.771391,225.8645,175.42781,150.57632
2,5.0000005,200.0,5.0569253,128.36424,0.05692482,71.63576,1.1384963,35.81788,5.0343637,122.59833,0.03436327,77.40167,0.68726534,38.700836,14.263447,552.98,9.263447,352.97998,185.26892,176.48999,14.24977,548.56964,9.249769,348.56964,184.99536,174.28482
3,5.0000005,250.00002,6.777252,339.2774,1.7772517,89.27739,35.54503,35.710953,6.7820907,340.27887,1.7820902,90.278854,35.6418,36.111538,13.845909,664.9487,8.845909,414.94873,176.91817,165.97948,13.842102,664.39905,8.842102,414.39905,176.84203,165.75961
4,5.0000005,300.0,8.7267,504.13272,3.7266994,204.13272,74.53398,68.04424,8.662236,490.55524,3.6622357,190.55524,73.244705,63.51841,12.699161,719.49286,7.69916,419.49286,153.98318,139.83096,12.662824,721.3546,7.662823,421.3546,153.25645,140.45154
5,5.0000005,350.00003,8.524661,568.4384,3.5246606,218.43839,70.4932,62.41096,8.481794,552.43677,3.4817939,202.43674,69.635864,57.839058,10.944998,740.7452,5.9449973,390.74515,118.89993,111.641464,10.895349,742.79193,5.895348,392.7919,117.90695,112.22625
6,5.0000005,400.0,7.6622553,585.775,2.6622548,185.77502,53.24509,46.443756,7.606793,577.59985,2.6067924,177.59985,52.13584,44.399963,9.072439,744.31793,4.0724387,344.31793,81.44876,86.07948,9.063254,745.6018,4.063254,345.6018,81.26507,86.40045
7,5.0000005,450.0,6.59585,561.2425,1.5958495,111.24249,31.916988,24.720554,6.658773,558.38885,1.6587725,108.388855,33.17545,24.086412,7.7009883,745.54114,2.7009878,295.54114,54.01975,65.675804,7.7298617,745.05084,2.7298613,295.05084,54.59722,65.56686
8,5.0000005,500.00003,5.59895,488.44522,0.59894943,11.55481,11.978988,2.310962,5.712491,492.69363,0.71249056,7.3063965,14.249809,1.4612792,6.9327283,756.7984,1.9327278,256.79837,38.654552,51.359673,6.9683504,753.2885,1.9683499,253.28848,39.366997,50.657696
9,5.0000005,550.0,5.2011447,394.50992,0.20114422,155.49008,4.022884,28.270924,5.2859406,407.8747,0.28594017,142.1253,5.718803,25.840965,6.546095,780.2554,1.5460944,230.25537,30.921885,41.864613,6.5717,774.6019,1.5716996,224.60193,31.43399,40.836716
10,5.0000005,600.0,5.0925264,322.2782,0.09252596,277.7218,1.850519,46.28697,5.1502213,337.95685,0.15022087,262.04315,3.0044172,43.67386,6.355553,810.12787,1.3555527,210.12787,27.11105,35.021313,6.365839,805.1985,1.3658385,205.19849,27.316767,34.19975
11,5.0000005,650.0,5.0591464,285.13983,0.059145927,364.86017,1.1829184,56.132336,5.088589,290.83087,0.088588715,359.16913,1.7717742,55.25679,6.263284,839.3442,1.2632837,189.34418,25.265673,29.129875,6.257437,837.32416,1.2574368,187.32416,25.148731,28.819101
12,5.0000005,700.00006,5.047319,269.15884,0.04731846,430.84122,0.9463691,61.54874,5.0606284,260.04797,0.060627937,439.9521,1.2125586,62.850292,6.221259,863.5416,1.2212586,163.54156,24.425169,23.36308,6.200359,864.8702,1.2003584,164.87012,24.007166,23.552872
13,5.0000005,750.0,5.044667,267.62732,0.04466629,482.37268,0.89332575,64.31635,5.0464725,238.55046,0.046472073,511.44952,0.9294414,68.19327,6.2046328,881.6161,1.2046323,131.61609,24.092644,17.548811,6.1704383,885.73816,1.1704378,135.73816,23.408754,18.098421
14,5.0000005,800.0,5.044867,279.57687,0.044866562,520.4231,0.8973312,65.05289,5.0383525,222.27412,0.038352013,577.7259,0.76704013,72.21574,6.199947,894.3771,1.1999464,94.377075,23.998924,11.797134,6.1542354,900.5135,1.1542349,100.51349,23.084696,12.564187
15,5.0000005,849.99994,5.0422306,306.99243,0.04223013,543.0075,0.84460247,63.88324,5.0341043,211.70386,0.03410387,638.2961,0.68207735,75.093666,6.200046,903.16394,1.2000456,53.164,24.00091,6.2545886,6.1446257,910.6222,1.1446252,60.622253,22.892502,7.1320305
16,5.0000005,900.0,5.0502768,373.27292,0.05027628,526.72705,1.0055255,58.52523,5.030717,205.5519,0.03071642,694.4481,0.6143283,77.160904,6.2013965,909.1614,1.201396,9.161377,24.027916,1.0179307,6.138352,917.4268,1.1383514,17.426819,22.767027,1.9363132
17,5.0000005,950.0,5.067182,471.1423,0.06718159,478.8577,1.3436316,50.406075,5.0259185,204.42459,0.025918007,745.57544,0.5183601,78.48163,6.202463,913.23627,1.2024627,36.763733,24.049252,3.8698666,6.1341124,921.98895,1.1341119,28.011047,22.682236,2.9485314
18,5.0000005,1000.00006,5.0793324,562.5575,0.079331875,437.44257,1.5866373,43.744255,5.0218678,211.11029,0.021867275,788.8898,0.43734545,78.88897,6.202766,915.9819,1.2027655,84.01819,24.055307,8.401818,6.1313276,925.06964,1.1313272,74.93042,22.626541,7.4930415
19,6.0,100.0,8.116937,184.4263,2.1169367,84.4263,35.28228,84.4263,5.0903325,118.25711,0.9096675,18.25711,15.161125,18.25711,12.582502,200.05745,6.5825024,100.05745,109.70837,100.05745,12.534873,200.06473,6.534873,100.06473,108.91455,100.06473
20,6.0,150.0,5.049772,124.53522,0.9502282,25.464783,15.837137,16.976522,5.030293,112.69292,0.969707,37.307083,16.161783,24.871387,13.261741,291.95047,7.2617407,141.95047,121.02901,94.633644,13.234069,296.43423,7.234069,146.43423,120.56781,97.622826
21,6.0,200.0,5.0297537,120.69713,0.9702463,79.30287,16.17077,39.651436,5.018763,113.81207,0.98123693,86.18793,16.353949,43.093964,14.081759,440.47955,8.081759,240.47955,134.696,120.239784,14.046443,437.51248,8.046443,237.51248,134.10739,118.75625
22,6.0,250.00002,5.100158,141.32463,0.8998418,108.675385,14.997363,43.47015,5.0715513,137.60774,0.9284487,112.39227,15.474145,44.95691,14.258678,579.23505,8.258678,329.23505,137.64464,131.694,14.25139,575.31335,8.25139,325.31335,137.52318,130.12534
23,6.0,300.0,7.4849744,376.94028,1.4849744,76.94028,24.749573,25.646759,7.553971,378.2446,1.5539708,78.2446,25.899515,26.081532,13.854607,667.0449,7.8546066,367.04492,130.91011,122.34831,13.852024,666.58484,7.852024,366.58484,130.86707,122.19495
24,6.0,350.00003,9.266705,521.52625,3.2667046,171.52621,54.445076,49.007484,9.197607,508.96243,3.197607,158.9624,53.29345,45.417824,12.946703,714.94855,6.946703,364.94852,115.77839,104.270996,12.917687,716.66986,6.9176874,366.66983,115.29479,104.7628
25,6.0,400.0,9.417141,597.23236,3.417141,197.23236,56.95235,49.30809,9.270225,574.3837,3.2702246,174.38373,54.503746,43.595932,11.585089,737.7906,5.5850887,337.7906,93.08481,84.44765,11.534746,739.9808,5.534746,339.98077,92.24577,84.99519
26,6.0,450.0,8.894113,633.35626,2.8941126,183.35626,48.23521,40.74584,8.829156,619.435,2.829156,169.435,47.1526,37.65222,9.984934,745.06586,3.9849339,295.06586,66.415565,65.57019,9.952895,746.8471,3.9528952,296.8471,65.881584,65.96602
27,6.0,500.00003,8.038188,636.3455,2.038188,136.34549,33.9698,27.269094,7.99112,629.21783,1.9911199,129.2178,33.18533,25.843561,8.547482,745.2648,2.5474815,245.26474,42.458023,49.052944,8.556188,746.15265,2.5561876,246.15262,42.603127,49.230522
28,6.0,550.0,7.149165,619.07623,1.1491652,69.07623,19.152754,12.559316,7.219619,617.41864,1.2196188,67.41864,20.326979,12.257935,7.5394087,747.3544,1.5394087,197.35437,25.65681,35.882614,7.5731144,746.4632,1.5731144,196.4632,26.218573,35.72058
29,6.0,600.0,6.1007485,570.02313,0.10074854,29.976868,1.6791424,4.996145,6.248085,573.50104,0.24808502,26.498962,4.1347504,4.416494,6.9348855,757.4231,0.9348855,157.4231,15.581425,26.237185,6.971935,753.9589,0.9719348,153.95892,16.198914,25.65982
30,6.0,650.0,5.4499516,499.12308,0.55004835,150.87692,9.167472,23.211834,5.5592074,506.22977,0.44079256,143.77023,7.346543,22.118496,6.5945387,776.13763,0.5945387,126.137634,9.9089775,19.40579,6.6234612,770.70355,0.62346125,120.70355,10.391021,18.569778
31,6.0,700.00006,5.1961904,417.50046,0.80380964,282.4996,13.396828,40.357082,5.2826843,431.25998,0.7173157,268.74008,11.955261,38.391438,6.405623,800.226,0.40562296,100.22595,6.7603827,14.317992,6.4220676,794.7572,0.42206764,94.75714,7.0344605,13.536734
