idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_泛化_test_2,lt_pred_um__wtlt_big_泛化_test_2,wt_abs_err_um__wtlt_big_泛化_test_2,lt_abs_err_um__wtlt_big_泛化_test_2,wt_pct_err__wtlt_big_泛化_test_2,lt_pct_err__wtlt_big_泛化_test_2,wt_pred_um__wtlt_big_泛化_test_data,lt_pred_um__wtlt_big_泛化_test_data,wt_abs_err_um__wtlt_big_泛化_test_data,lt_abs_err_um__wtlt_big_泛化_test_data,wt_pct_err__wtlt_big_泛化_test_data,lt_pct_err__wtlt_big_泛化_test_data
0,3.0,120.00001,0.737749,59.433014,2.262251,60.566994,75.40836,50.472492,1.0000536,48.72418,1.9999464,71.27583,66.66488,59.396523
1,3.0,136.61017,0.7066689,59.90115,2.2933311,76.709015,76.44437,56.15176,0.98594195,49.818623,2.014058,86.79155,67.13527,63.532276
2,3.0,153.22034,0.6888804,61.002403,2.3111196,92.21793,77.037315,60.18648,0.94991666,49.42445,2.0500834,103.79588,68.33611,67.74289
3,3.0,169.8305,0.6823417,64.24871,2.3176584,105.581795,77.25528,62.16892,0.898552,48.624413,2.101448,121.20609,70.04826,71.36886
4,3.0,186.44069,0.7038708,69.2235,2.2961292,117.217186,76.537636,62.871033,0.8699695,52.10531,2.1300306,134.33539,71.00102,72.05261
5,3.0,203.05087,1.1377923,110.165146,1.8622077,92.88573,62.07359,45.745052,1.3216985,73.449455,1.6783015,129.60141,55.943382,63.82706
6,3.0,219.66103,4.7212973,326.8155,1.7212973,107.154465,57.376575,48.78174,5.3639903,295.4253,2.3639903,75.76427,78.799675,34.491447
7,3.0,236.27116,8.497631,543.7943,5.497631,307.52313,183.25438,130.15686,9.205856,528.6223,6.2058563,292.35114,206.86188,123.73543
8,3.0,252.88133,10.906222,696.5757,7.9062223,443.69434,263.54074,175.45555,11.356034,674.34155,8.356034,421.4602,278.5345,166.66322
9,3.0,269.49158,11.897163,779.4042,8.897163,509.9126,296.5721,189.21281,12.634863,772.9488,9.634863,503.4572,321.1621,186.81741
10,3.0,286.10168,12.827471,865.00134,9.827471,578.89966,327.58237,202.34053,13.354108,843.11707,10.354108,557.0154,345.13693,194.6914
11,3.0,302.71188,13.386662,928.7556,10.386662,626.0437,346.22205,206.81174,13.682958,894.18634,10.682958,591.4745,356.09857,195.39189
12,3.0,319.32202,13.409962,959.7735,10.409962,640.4515,346.99872,200.56602,13.699119,928.4899,10.699119,609.1679,356.6373,190.76915
