wt_bin_center_um,NMAE_wt_%__泛化PINN,NRMSE_wt_%__泛化PINN,NMAE_wt_%__泛化DATA,NRMSE_wt_%__泛化DATA
3.375,112.13934326171875,142.34902954101562,115.40149688720703,147.02369689941406
4.125,108.36308288574219,126.06425476074219,109.9355239868164,129.24874877929688
4.875,98.90271759033203,111.19810485839844,99.77881622314453,113.44161224365234
5.625,89.29631805419922,98.71939086914062,90.07748413085938,100.48188781738281
6.375,85.73892974853516,91.15821075439453,86.8707275390625,92.69143676757812
7.125,83.0640869140625,85.5451889038086,83.5984878540039,86.49317169189453
7.875,77.00502014160156,79.71683502197266,77.7195053100586,80.55903625488281
8.625,72.28363037109375,75.52954864501953,72.78419494628906,75.974609375
9.375,69.19884490966797,73.47135925292969,69.12139892578125,73.09192657470703
10.125,67.52019500732422,72.65995025634766,66.99151611328125,71.79053497314453
10.875,66.64974975585938,72.6458511352539,65.84442901611328,71.51811981201172
11.625,66.68952178955078,73.63951110839844,65.23193359375,72.01708984375
12.375,67.21397399902344,74.92933654785156,65.39615631103516,73.06352996826172
13.125,69.08727264404297,77.13408660888672,66.91844177246094,75.0003890991211
13.875,73.0197525024414,80.10035705566406,70.74887084960938,77.93670654296875
14.625,75.23235321044922,81.77391052246094,72.41191864013672,79.45384216308594
15.375,80.66053009033203,85.28701782226562,78.4616470336914,83.29068756103516
16.125,84.33068084716797,87.5479965209961,82.4040298461914,85.7967529296875
16.875,88.48615264892578,90.16897583007812,86.61593627929688,88.42571258544922
17.625,91.19654083251953,92.06277465820312,89.29981231689453,90.27466583251953
